author,year,area,Journal,method,species,pollutant,p_type1,p_type2.x,Nc,Mc,Sc,Ne,Me,Se,land_use_c,land_use_e,other_param,comment,stulab,stuid,areaid,independent,caseid,obid_l1,obid_l2,obid_l3,caselab,caseid2,obid_l1_2,oblab,p_type2,es_adj,var_adj,es_nadj,var_nadj,shared.T,se_adj,se_nadj,Check,point_dis,dis_to_pol(m),areasize(km2),temperature,humidity(%),pressure,windspeed(m/s),aveconcen(mug/m3),greencover,city,country,landtype_control,landtype_exp,leaf
Sabin,2018,"Marmara,Turkey",Atmospheric Pollution Research,Pollutant analyzer,NA,NO2,NOX,g,7,21,8.7,15,5.6,2.9,urban sites,rural sites,mug,only aquired summer,37_Sabin_2018,37,NA,TRUE,3,81,25,45,37_Sabin_2018_case3,case3,obs.81,Sabin_2018_obs.81,g,-1.32175584,0.042397352,-1.32175584,0.042397352,FALSE,0.205906172,0.205906172,,separate,,,24.5,67,,4.8,16.1,,Marmara,Turkey,Urban,Forest,TRUE
Liu,2018,"Nanjing,China",Atmospheric Pollution Research,Pollutant analyzer,NA,PM25,PM,s,8,53,1.8,8,38.1,7.3,downtown,forest park,mug,pm concentration vertical profiles,38_Liu_2018,38,NA,TRUE,1,82,37,37,38_Liu_2018_case1,case1,obs.82,Liu_2018_obs.82,s,-0.330077631,0.00473305,-0.330077631,0.00473305,FALSE,0.068797164,0.068797164,,separate,2000,12.6,15.3,70,,2.9,45.5,0.88,Nanjing,China,Residential,Forest,TRUE
Liu,2018,"Nanjing,China",Atmospheric Pollution Research,Pollutant analyzer,NA,PM25,PM,s,8,78.3,4.2,8,48.2,5.3,downtown,forest park,mug,pm concentration vertical profiles,38_Liu_2018,38,NA,TRUE,2,83,38,38,38_Liu_2018_case2,case2,obs.83,Liu_2018_obs.83,s,-0.485188582,0.001871013,-0.485188582,0.001871013,FALSE,0.043255211,0.043255211,,separate,2000,12.6,15.3,70,,2.9,63.2,0.88,Nanjing,China,Residential,Forest,TRUE
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,NO2,NOX,g,8,19,3.8,8,21.6,6,outside forest,inside forest,mug,5m from traffic lane,39_Viljami_2018,39,NA,TRUE,1,84,26,46,39_Viljami_2018_case1,case1,obs.84,Viljami_2018_obs.84,g,0.128254336,0.014645062,0.128254336,0.014645062,FALSE,0.121016783,0.121016783,,subpoint,5,7.85375E-05,0.8,80,,2.5,20.3,0.62,Lahti,Finland,Outside forest,Forest,FALSE
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,NO2,NOX,g,8,16,4.5,8,19,4.6,outside forest,inside forest,mug,20m from traffic lane,39_Viljami_2018,39,NA,TRUE,2,85,27,47,39_Viljami_2018_case2,case2,obs.85,Viljami_2018_obs.85,g,0.171850257,0.017214565,0.171850257,0.017214565,FALSE,0.131204288,0.131204288,,subpoint,20,0.0012566,0.8,80,,2.5,17.5,0.58,Lahti,Finland,Outside forest,Forest,FALSE
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,NO2,NOX,g,8,14.1,4.8,8,18.5,3.5,outside forest,inside forest,mug,40m from traffic lane,39_Viljami_2018,39,NA,TRUE,3,86,28,48,39_Viljami_2018_case3,case3,obs.86,Viljami_2018_obs.86,g,0.271595935,0.018960262,0.271595935,0.018960262,FALSE,0.137696265,0.137696265,,subpoint,40,0.0050264,0.8,80,,2.5,16.3,0.58,Lahti,Finland,Outside forest,Forest,FALSE
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,TSP,PM,s,4,150.4,80.7,4,64.3,21.9,outside forest,inside forest,mug/cm2/month,5m from traffic lane,39_Viljami_2018,39,NA,TRUE,4,87,39,39,39_Viljami_2018_case4,case4,obs.87,Viljami_2018_obs.87,s,-0.84973878,0.100977167,-0.84973878,0.100977167,FALSE,0.317769046,0.317769046,,subpoint,5,7.85375E-05,0.8,80,,2.5,107.35,0.62,Lahti,Finland,Outside forest,Forest,FALSE
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,TSP,PM,s,4,96.9,53.5,4,42.9,3.9,outside forest,inside forest,mug/cm2/month,20m from traffic lane,39_Viljami_2018,39,NA,TRUE,5,88,40,40,39_Viljami_2018_case5,case5,obs.88,Viljami_2018_obs.88,s,-0.814807693,0.07827402,-0.814807693,0.07827402,FALSE,0.279774945,0.279774945,,subpoint,20,0.0012566,0.8,80,,2.5,69.9,0.58,Lahti,Finland,Outside forest,Forest,FALSE
Viljami,2018,"Lahti,Finland",Urban Forestry & Urban Greening,Passive sampler,NA,TSP,PM,s,4,73.1,48.1,4,27.7,11.3,outside forest,inside forest,mug/cm2/month,40m from traffic lane,39_Viljami_2018,39,NA,TRUE,6,89,41,41,39_Viljami_2018_case6,case6,obs.89,Viljami_2018_obs.89,s,-0.970395954,0.149846118,-0.970395954,0.149846118,FALSE,0.387099622,0.387099622,,subpoint,40,0.0050264,0.8,80,,2.5,50.4,0.58,Lahti,Finland,Outside forest,Forest,FALSE
Xiuchun.C,2007,Changchun,JONFU,Pollutant analyzer,NA,NO2,NOX,g,5,0.019,0.017,5,0.017,0.016,out greenbelt,in greenbelt,mg,NA,4_Xiuchun.C_2007,4,NA,TRUE,1,90,29,49,4_Xiuchun.C_2007_case1,case1,obs.90,Xiuchun.C_2007_obs.90,g,-0.111225635,0.337273433,-0.111225635,0.337273433,FALSE,0.580752471,0.580752471,,subpoint,100,0.031415,15.4,69,,3.8,17.8,0.5,Changchun,China,Outside patch,Lane,TRUE
